name,formatted_address,電話,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
車之輪汽車百貨-中華門市,701台南市東區中華東路三段235號,06 289 6898,,,,,,,,,,,,,,,,,,,,,,,
安翔汽車,701台南市東區慶東街6號,06 236 6610,,,,,,,,,,,,,,,,,,,,,,,
富成汽車修護,701台南市東區東門路三段77號,06 269 5169,,,,,,,,,,,,,,,,,,,,,,,
鼎峰汽車精緻維修保養廠,701台南市東區自由路一段160號,0936 353 543,,,,,,,,,,,,,,,,,,,,,,,
昇輝汽車保養廠,701台南市東區裕義路552號,06 331 3546,,,,,,,,,,,,,,,,,,,,,,,
路馳揚南市裕農店-威禾汽車保養廠,701台南市東區裕農路939號,06 238 0052,,,,,,,,,,,,,,,,,,,,,,,
凱大車廠,702台南市南區中華南路二段29號,06 262 2942,,,,,,,,,,,,,,,,,,,,,,,
KING台南店(冠鑫車業行）,702台南市南區大同路二段582號,06 290 6026,,,,,,,,,,,,,,,,,,,,,,,
高銘汽車修護廠,702台南市安南區本田路三段151號,06 245 3388,,,,,,,,,,,,,,,,,,,,,,,
毅鎂汽車保養廠,704台南市北區中華北路一段73號,06 350 6908,,,,,,,,,,,,,,,,,,,,,,,
路路安汽修連鎖-台南宇弘店,704台南市北區公園南路239號,06 220 4857,,,,,,,,,,,,,,,,,,,,,,,
路馳揚汽車,704台南市北區公園路509巷8弄44號,06 281 8137,,,,,,,,,,,,,,,,,,,,,,,
賓仕汽車商行,708台南市安平區安平路142-146號,06 250 8732,,,,,,,,,,,,,,,,,,,,,,,
台南鉅鋒車業,708台南市安平區建平七街687號,06 297 8699,,,,,,,,,,,,,,,,,,,,,,,
順興車業,708台南市安平區文平路472號,06 299 7186,,,,,,,,,,,,,,,,,,,,,,,
大有汽車修護廠,709台南市安南區北安路二段319號,06 247 1018,,,,,,,,,,,,,,,,,,,,,,,
承泰汽車保養廠,709台南市安南區海佃路二段309號,06 246 6966,,,,,,,,,,,,,,,,,,,,,,,
賓晟汽車修護廠,710台南市永康區中正南路253號,06 253 5920,,,,,,,,,,,,,,,,,,,,,,,
Sum優質中古車商聯盟-第一汽車,710台南市永康區永大路三段7號,06 201 4106,,,,,,,,,,,,,,,,,,,,,,,
崇偉汽車修護廠,712台南市新化區竹子腳158-6號,06 598 2788,,,,,,,,,,,,,,,,,,,,,,,
SUM晟鎰保修,717台南市仁德區大同路三段298號,06 269 1753,,,,,,,,,,,,,,,,,,,,,,,
新泰汽車修理廠有限公司,717台南市仁德區太子路735號,06 511 1777,,,,,,,,,,,,,,,,,,,,,,,
金帝汽車有限公司,744台南市新市區中華路31號,06 599 5316,,,,,,,,,,,,,,,,,,,,,,,
瓏昇車業,744台南市新市區富強路106號,06 589 9355,,,,,,,,,,,,,,,,,,,,,,,
千騏汽車企業社,800高雄市新興區七賢一路71號,07 223 8299,,,,,,,,,,,,,,,,,,,,,,,
大同車業TaTung motors,801高雄市前金區自強二路75號,07 241 0911,,,,,,,,,,,,,,,,,,,,,,,
安達仕汽修聯盟-苓雅定益店,802高雄市苓雅區四維二路122號,0929 783 991,,,,,,,,,,,,,,,,,,,,,,,
晉弘汽車保養廠,802高雄市苓雅區正言路16號,07 721 9188,,,,,,,,,,,,,,,,,,,,,,,
迦南汽車企業社,802高雄市苓雅區武智街35號,0928 732 899,,,,,,,,,,,,,,,,,,,,,,,
福斯商用車販售部,802高雄市苓雅區澄清路22號,07 745 3131,,,,,,,,,,,,,,,,,,,,,,,
華興汽車修護,802高雄市苓雅區興中一路267號,07 333 2938,,,,,,,,,,,,,,,,,,,,,,,
中一汽車,803高雄市鹽埕區建國四路181之1號,07 551 7476,,,,,,,,,,,,,,,,,,,,,,,
興龍汽車保養廠,803高雄市鹽埕區新樂街246號,07 521 0856,,,,,,,,,,,,,,,,,,,,,,,
總輪車業,804高雄市鼓山區鼓山二路80-2號,07 531 3369,,,,,,,,,,,,,,,,,,,,,,,
活塞汽車專業,804高雄市鼓山區中華一路2125號,07 955 4567,,,,,,,,,,,,,,,,,,,,,,,
以馬內利汽車修護廠,804高雄市鼓山區中華一路282-1號,07 555 3711,,,,,,,,,,,,,,,,,,,,,,,
啟郕汽車保養場,804高雄市鼓山區大順一路121號,07 559 1338,,,,,,,,,,,,,,,,,,,,,,,
千順汽車,804高雄市鼓山區明倫路476之2號,07 555 5569,,,,,,,,,,,,,,,,,,,,,,,
日陞汽車-MICHELIN.Mobil.Koni,804高雄市鼓山區明誠三路592號,07 552 4680,,,,,,,,,,,,,,,,,,,,,,,
明正汽車保養廠,804高雄市鼓山區河西一路109號,07 533 6836,,,,,,,,,,,,,,,,,,,,,,,
MAXXIS瑪吉斯輪胎 - 鴻喜輪胎行/保養廠,804高雄市鼓山區華榮路577號,07 554 3802,,,,,,,,,,,,,,,,,,,,,,,
光田車業,804高雄市鼓山區銘傳路81號,07 581 0952,,,,,,,,,,,,,,,,,,,,,,,
車之輪汽車百貨-民權門市,806高雄市前鎮區一心一路291號,07 334 3789,,,,,,,,,,,,,,,,,,,,,,,
車適輪（華豐輪胎）,806高雄市前鎮區成功二路62號1樓,07 536 9597,,,,,,,,,,,,,,,,,,,,,,,
茗欣汽車工業股份有限公司,806高雄市前鎮區新大路2號,07 813 2125,,,,,,,,,,,,,,,,,,,,,,,
共展汽車修理,806高雄市前鎮區瑞南街56之1號,07 821 9336,,,,,,,,,,,,,,,,,,,,,,,
SUM 勝達汽車保修聯盟,807高雄市三民區克武路150號,07 385 9979,,,,,,,,,,,,,,,,,,,,,,,
華盟汽車,807高雄市三民區同協路167號,07 313 6999,,,,,,,,,,,,,,,,,,,,,,,
瑞興汽車冷氣音響電機行,807高雄市三民區察哈爾二街62號,07 322 8753,,,,,,,,,,,,,,,,,,,,,,,
明承汽車修護,807高雄市三民區澄清路505號,07 386 2210,,,,,,,,,,,,,,,,,,,,,,,
震偉汽車,807高雄市三民區自由一路225之1號,07 395 9770,,,,,,,,,,,,,,,,,,,,,,,
DT車材,807高雄市三民區通化街30巷40號,0982 803 393,,,,,,,,,,,,,,,,,,,,,,,
WIN車業技研聯盟,807高雄市三民區鼎力路16號,07 310 5988,,,,,,,,,,,,,,,,,,,,,,,
長勝鴻車業,807高雄市三民區鼎泰街209號,07 310 4566,,,,,,,,,,,,,,,,,,,,,,,
大眾汽車保養廠,807高雄市三民區鼎泰街95號,07 350 9513,,,,,,,,,,,,,,,,,,,,,,,
九九汽車修護中心,811高雄市楠梓區右昌街508號,07 364 0567,,,,,,,,,,,,,,,,,,,,,,,
協群車業行,811高雄市楠梓區右昌街227號,07 364 6988,,,,,,,,,,,,,,,,,,,,,,,
吉隆車業有限公司,811高雄市楠梓區楠梓東街77號,07 351 3886,,,,,,,,,,,,,,,,,,,,,,,
映相車業,811高雄市楠梓區中泰街43巷37弄218號,0956 086 349,,,,,,,,,,,,,,,,,,,,,,,
順順順保養廠,811高雄市楠梓區久昌街361號,07 364 3904,,,,,,,,,,,,,,,,,,,,,,,
高科車業KKR&D,811高雄市楠梓區創新路608號,07 355 3766,,,,,,,,,,,,,,,,,,,,,,,
昌陽汽車有限公司,811高雄市楠梓區加昌路633-1號,07 363 0817,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN米其林輪胎-禎薪店,811高雄市楠梓區常德路30號,07 352 1945,,,,,,,,,,,,,,,,,,,,,,,
正仲汽車保養廠/汽車商行,811高雄市楠梓區後昌路215號,07 362 8510,,,,,,,,,,,,,,,,,,,,,,,
尚泰汽車電機材料行,811高雄市楠梓區德祥路60號,07 361 3798,,,,,,,,,,,,,,,,,,,,,,,
宏昶車業,811高雄市楠梓區德賢路87號,07 366 0753,,,,,,,,,,,,,,,,,,,,,,,
車師傅汽車,811高雄市楠梓區東昌街126號-1號,07 360 8567,,,,,,,,,,,,,,,,,,,,,,,
約升車業,811高雄市楠梓區楠梓新路160號,07 351 2848,,,,,,,,,,,,,,,,,,,,,,,
萬昌汽車保養廠,811高雄市楠梓區興楠路119號,07 351 5647,,,,,,,,,,,,,,,,,,,,,,,
美皇汽車,811高雄市楠梓區藍昌路341號,07 361 9021,,,,,,,,,,,,,,,,,,,,,,,
好車大聯盟仁武廠,811高雄市楠梓區高楠公路100號,07 359 8822,,,,,,,,,,,,,,,,,,,,,,,
聯億汽車修護場,812高雄市小港區宏平路437之6號,07 807 0315,,,,,,,,,,,,,,,,,,,,,,,
冠翔汽車修護廠,812高雄市小港區山明路615號,0936 375 832,,,,,,,,,,,,,,,,,,,,,,,
世全車業有限公司,812高雄市小港區崇文路81號,07 806 7820,,,,,,,,,,,,,,,,,,,,,,,
建誼汽車企業社,812高雄市小港區高鳳路106號,07 791 3852,,,,,,,,,,,,,,,,,,,,,,,
景元汽車保養場,813高雄市左營區左營大路727號,07 583 1773,,,,,,,,,,,,,,,,,,,,,,,
順烽汽車保養廠,813高雄市左營區左營大路908號,07 583 8306,,,,,,,,,,,,,,,,,,,,,,,
星峰車業,813高雄市左營區文瑞路15號,07 345 6378,,,,,,,,,,,,,,,,,,,,,,,
群英汽車保養中心,813高雄市左營區新庄仔路24號,07 583 8286,,,,,,,,,,,,,,,,,,,,,,,
鑫得寶汽車有限公司,813高雄市左營區重信路439號,07 347 9569,,,,,,,,,,,,,,,,,,,,,,,
SUM汽車保修聯盟-超越保修,814高雄市仁武區京富路436號,07 373 7295,,,,,,,,,,,,,,,,,,,,,,,
昌昇汽車修護廠,814高雄市仁武區仁林路219號,07 372 6120,,,,,,,,,,,,,,,,,,,,,,,
川盛汽車保養廠,814高雄市仁武區鳳仁路28之3號,0937 531 085,,,,,,,,,,,,,,,,,,,,,,,
台安汽車保養廠有限公司,814高雄市仁武區鳳仁路396號,07 371 0110,,,,,,,,,,,,,,,,,,,,,,,
宏展汽車保養廠,814高雄市仁武區鳳仁路5-13號,07 735 2186,,,,,,,,,,,,,,,,,,,,,,,
SUM大三汽車保修聯盟,815高雄市大社區三民路438之1號,07 353 2089,,,,,,,,,,,,,,,,,,,,,,,
振豪車業,815高雄市大社區中山路666-7號,07 355 6052,,,,,,,,,,,,,,,,,,,,,,,
正吉汽車維修廠,815高雄市大社區保社里旗楠路57號,07 351 9809,,,,,,,,,,,,,,,,,,,,,,,
峰茂車業行,815高雄市大社區大吉路2號,07 353 7676,,,,,,,,,,,,,,,,,,,,,,,
旂昇保養廠,820高雄市岡山區仁壽南路10號,07 625 2300,,,,,,,,,,,,,,,,,,,,,,,
福保企業行,820高雄市岡山區中山北路209號,07 622 2765,,,,,,,,,,,,,,,,,,,,,,,
SUM優質車商聯盟-友信汽車,820高雄市岡山區中山南路386號,07 623 0625,,,,,,,,,,,,,,,,,,,,,,,
鈺昆汽車企業社,820高雄市岡山區碧紅街169號,07 624 1111,,,,,,,,,,,,,,,,,,,,,,,
明順汽車保養廠,824高雄市燕巢區角宿路59號,07 616 4460,,,,,,,,,,,,,,,,,,,,,,,
路馳揚彌陀中正東店-允大汽車保養廠,827高雄市彌陀區中正東路250號,07 619 4427,,,,,,,,,,,,,,,,,,,,,,,
健新汽車保養廠,830高雄市鳳山區自由路24號,07 741 2802,,,,,,,,,,,,,,,,,,,,,,,
宇成汽車維修保養廠-高雄五甲&鳯山,830高雄市鳳山區五甲三路164巷168-8號,0932 785 911,,,,,,,,,,,,,,,,,,,,,,,
元福汽車修護保養廠,830高雄市鳳山區光復路二段258號,07 743 6285,,,,,,,,,,,,,,,,,,,,,,,
百勝汽車修護廠,830高雄市鳳山區澄清路51號,07 747 8761,,,,,,,,,,,,,,,,,,,,,,,
正菖汽車保養廠(鳳山),830高雄市鳳山區華興街195號,07 713 4084,,,,,,,,,,,,,,,,,,,,,,,
永通汽車保養場,830高雄市鳳山區青年路二段473號,07 777 6750,,,,,,,,,,,,,,,,,,,,,,,
頂安車業,830高雄市鳳山區頂庄路141號號,07 796 5810,,,,,,,,,,,,,,,,,,,,,,,
旗勝車業,830高雄市鳳山區鳳頂路405號,0989 101 142,,,,,,,,,,,,,,,,,,,,,,,
福鑫汽車有限公司,830高雄市鳳山區輜汽北一路3號,07 722 5711,,,,,,,,,,,,,,,,,,,,,,,
冠向企業有限公司,831高雄市大寮區鳳林路四段563號,07 643 0106,,,,,,,,,,,,,,,,,,,,,,,
車晟汽車修護廠,831高雄市大寮區光明路一段31巷120之1號,0915 669 572,,,,,,,,,,,,,,,,,,,,,,,
順心汽車修護廠,831高雄市大寮區光明路二段825-1號,07 787 7410,,,,,,,,,,,,,,,,,,,,,,,
永元興汽車保養廠,831高雄市大寮區大寮路1號,0981 253 705,,,,,,,,,,,,,,,,,,,,,,,
路路安汽修連鎖-大發有進店,831高雄市大寮區鳳林三路16號,07 788 0596,,,,,,,,,,,,,,,,,,,,,,,
鼎億車業,831高雄市大寮區鳳林三路408號,0968 923 811,,,,,,,,,,,,,,,,,,,,,,,
瑞昌汽車修配廠有限公司,832高雄市林園區信義路89號,07 645 2278,,,,,,,,,,,,,,,,,,,,,,,
安達仕汽修聯盟-林園裕鑫店,832高雄市林園區沿海路三段38號,07 642 5364,,,,,,,,,,,,,,,,,,,,,,,
車友汽車百貨生活館,832高雄市林園區沿海路四段63號,07 646 4987,,,,,,,,,,,,,,,,,,,,,,,
新生車工處,832高雄市林園區潭平路155號,07 641 2849,,,,,,,,,,,,,,,,,,,,,,,
帝壹汽車,832高雄市林園區鳳林路一段216號,07 643 3317,,,,,,,,,,,,,,,,,,,,,,,
宜坤汽車修理廠,833高雄市鳥松區水管路37-21號C棟,0965 580 717,,,,,,,,,,,,,,,,,,,,,,,
泓慶汽車保修廠,833高雄市鳥松區美山路166-11號,0927 639 198,,,,,,,,,,,,,,,,,,,,,,,
鴻國汽車修護廠,840高雄市大樹區九大路120號,07 651 2801,,,,,,,,,,,,,,,,,,,,,,,
新大成車業行,103台北市大同區延平北路三段65號之2號,02 2591 5528,,,,,,,,,,,,,,,,,,,,,,,
松吉汽車快速保養廠,105台北市松山區健康路308號,02 2762 1281,,,,,,,,,,,,,,,,,,,,,,,
乾盛實業,105台北市松山區八德路四段106巷4弄1號,02 2760 5747,,,,,,,,,,,,,,,,,,,,,,,
全威汽車修配廠,110台北市信義區松仁路170號,02 2729 4619,,,,,,,,,,,,,,,,,,,,,,,
昇群汽車,115台北市南港區南港路三段129號,02 2782 9729,,,,,,,,,,,,,,,,,,,,,,,
秀明汽車,116台北市文山區木柵路五段28號,02 2230 3086,,,,,,,,,,,,,,,,,,,,,,,
億倫汽車專業維修,116台北市文山區木柵路四段29號,02 2230 3650,,,,,,,,,,,,,,,,,,,,,,,
東源汽車工程行,201基隆市信義區東信路330號,02 2426 9997,,,,,,,,,,,,,,,,,,,,,,,
皇成汽車商行,201基隆市信義區深澳坑路11號之1號,0933 077 091,,,,,,,,,,,,,,,,,,,,,,,
佳弘汽車維修廠,201基隆市信義區深澳坑路57號,,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN米其林輪胎-宏冠店,204基隆市安樂區崇德路1號,02 2420 2267,,,,,,,,,,,,,,,,,,,,,,,
岷峰汽車修護所,206基隆市七堵區實踐路150號,02 2451 9549,,,,,,,,,,,,,,,,,,,,,,,
東宏輪胎汽車保養廠(碇內店),206基隆市七堵區明德一路88號,02 2456 6219,,,,,,,,,,,,,,,,,,,,,,,
錦藝汽車保養所,206基隆市七堵區福五街186號,02 2451 2268,,,,,,,,,,,,,,,,,,,,,,,
三亨汽車,221新北市汐止區中興路96巷3號,02 2643 2257,,,,,,,,,,,,,,,,,,,,,,,
廣銓汽車修理,221新北市汐止區大同路一段337巷16弄47號,02 2647 2628,,,,,,,,,,,,,,,,,,,,,,,
德源汽車修護廠,221新北市汐止區大同路二段41巷1號,02 2647 8548,,,,,,,,,,,,,,,,,,,,,,,
民和汽車商行,221新北市汐止區大同路二段53巷2號,02 2641 3244,,,,,,,,,,,,,,,,,,,,,,,
鴻智車業,221新北市汐止區康寧街340號,02 2692 2776,,,,,,,,,,,,,,,,,,,,,,,
驊慶車業,221新北市汐止區福德二路230號,02 2695 9222,,,,,,,,,,,,,,,,,,,,,,,
昭豪汽車,222新北市深坑區文山路二段30巷41號,02 2664 0857,,,,,,,,,,,,,,,,,,,,,,,
方圓之間老車維修站,237新北市三峽區復興路179-8號,,,,,,,,,,,,,,,,,,,,,,,,
合發汽車電機,237新北市三峽區復興路84號,02 2671 2845,,,,,,,,,,,,,,,,,,,,,,,
中隆汽車有限公司,239新北市鶯歌區鶯桃路38號,02 2670 6123,,,,,,,,,,,,,,,,,,,,,,,
CS車宮車業,243新北市泰山區中港西路360號,02 8531 8555,,,,,,,,,,,,,,,,,,,,,,,
Mark Racing MK車業 保養、維修及改裝,243新北市泰山區文程路26號,0925 567 830,,,,,,,,,,,,,,,,,,,,,,,
迪歐星國際車業 Toption,243新北市泰山區新五路一段10-29號,02 2900 3030,,,,,,,,,,,,,,,,,,,,,,,
旭辰車業(汽車維修保養廠）,243新北市泰山區楓江路46巷63-5號,02 8531 4714,,,,,,,,,,,,,,,,,,,,,,,
普利擎汽車專業保養中心-勁磊,243新北市泰山區楓江路48之1號,02 2297 6001,,,,,,,,,,,,,,,,,,,,,,,
德祥汽車修車廠,243新北市泰山區泰山路131號,,,,,,,,,,,,,,,,,,,,,,,,
Protune Engineering 跑騰動力調校,243新北市泰山區泰林路二段28-2號,02 2297 1173,,,,,,,,,,,,,,,,,,,,,,,
嘉實多護車保養站-嘉原店,243新北市泰山區泰林路二段394號,02 2900 1939,,,,,,,,,,,,,,,,,,,,,,,
林口建興汽車,244新北市林口區文化二路一段338號,02 2600 7039,,,,,,,,,,,,,,,,,,,,,,,
大川汽車保養廠,248新北市五股區成泰路三段107號,02 2291 3277,,,,,,,,,,,,,,,,,,,,,,,
昇堡車用音響,248新北市五股區成泰路三段414巷2-1號,02 8292 2776,,,,,,,,,,,,,,,,,,,,,,,
車鄉汽車,248新北市五股區成泰路四段22巷16-11號,02 2291 8099,,,,,,,,,,,,,,,,,,,,,,,
菘宏汽車,249新北市林口區中華路283號,02 2601 9911,,,,,,,,,,,,,,,,,,,,,,,
清隆車廠,251新北市淡水區中正東路一段21巷33號,,,,,,,,,,,,,,,,,,,,,,,,
友銘,251新北市淡水區民權路88-5號,0917 202 090,,,,,,,,,,,,,,,,,,,,,,,
HOT保修大聯盟 金星汽車,260宜蘭縣宜蘭市中山路一段112號,03 951 8168,,,,,,,,,,,,,,,,,,,,,,,
SUM優質車商聯盟-文勝國際汽車,260宜蘭縣宜蘭市中山路一段250之2號,03 925 1557,,,,,,,,,,,,,,,,,,,,,,,
HOT保修大聯盟 龍成汽車,260宜蘭縣宜蘭市中山路一段390號號,03 925 6330,,,,,,,,,,,,,,,,,,,,,,,
YUASA湯淺電池-宜蘭大華總代理 (宜蘭總店),260宜蘭縣宜蘭市中山路二段52號,03 932 3700,,,,,,,,,,,,,,,,,,,,,,,
鈞祐汽車修理廠,260宜蘭縣宜蘭市中山路五段223號,03 928 0705,,,,,,,,,,,,,,,,,,,,,,,
泰連汽車行,260宜蘭縣宜蘭市中山路五段332號,03 928 6220,,,,,,,,,,,,,,,,,,,,,,,
冠盈材料行,260宜蘭縣宜蘭市同慶街72號,03 933 3160,,,,,,,,,,,,,,,,,,,,,,,
家興汽車保養廠,260宜蘭縣宜蘭市女中路一段260號,03 937 2233,,,,,,,,,,,,,,,,,,,,,,,
臣歐汽車有限公司,260宜蘭縣宜蘭市宜蘭市中山路1段558號,03 925 3310,,,,,,,,,,,,,,,,,,,,,,,
基益電機行,260宜蘭縣宜蘭市新興路115號,03 932 3673,,,,,,,,,,,,,,,,,,,,,,,
展業,260宜蘭縣宜蘭市東港路34巷18-1號,,,,,,,,,,,,,,,,,,,,,,,,
HOT大聯盟 展宇汽車,260宜蘭縣宜蘭市東港路一段281號,03 937 2389,,,,,,,,,,,,,,,,,,,,,,,
MICHELIN米其林輪胎-佑恩店,262宜蘭縣礁溪鄉礁溪路二段55號,03 928 4894,,,,,,,,,,,,,,,,,,,,,,,
嘉實多護車保養站-協進店,262宜蘭縣礁溪鄉礁溪路五段30號,03 988 1056,,,,,,,,,,,,,,,,,,,,,,,
日日旺車業,265宜蘭縣羅東鎮中山路二段361號,03 957 6458,,,,,,,,,,,,,,,,,,,,,,,
佳揚車業,265宜蘭縣羅東鎮純精路三段113號1樓,3890257,,,,,,,,,,,,,,,,,,,,,,,
文美汽車廣場,265宜蘭縣羅東鎮純精路三段222之1號,03 956 8836,,,,,,,,,,,,,,,,,,,,,,,
SUM中古車賞車網-合勝汽車,268宜蘭縣五結鄉中正路二段181號,03 965 1000,,,,,,,,,,,,,,,,,,,,,,,
HOT大聯盟 冠頡汽車,269宜蘭縣冬山鄉三星路一段168號,03 951 8286,,,,,,,,,,,,,,,,,,,,,,,
立興企業社,269宜蘭縣冬山鄉冬山路三段176號,03 958 4938,,,,,,,,,,,,,,,,,,,,,,,
HOT大聯盟 駿千汽車,269宜蘭縣冬山鄉冬山路三段576號,03 968 0858,,,,,,,,,,,,,,,,,,,,,,,
上興汽車修理廠,269宜蘭縣冬山鄉冬山路二段456號,03 958 8960,,,,,,,,,,,,,,,,,,,,,,,
勝威企業社,269宜蘭縣冬山鄉冬山路二段686號,03 958 8041,,,,,,,,,,,,,,,,,,,,,,,
推進技研,269宜蘭縣冬山鄉富堵二路77號266,0930 894 563,,,,,,,,,,,,,,,,,,,,,,,
立順汽車企業社,269宜蘭縣冬山鄉義成路三段168號,03 958 9670,,,,,,,,,,,,,,,,,,,,,,,
毅鼎汽車修理廠,269宜蘭縣冬山鄉鹿埔路461巷8號,,,,,,,,,,,,,,,,,,,,,,,,
聯順企業社,269宜蘭縣冬山鄉鹿安路518號,03 958 5718,,,,,,,,,,,,,,,,,,,,,,,
亞利安電子(汽車電腦維修),300新竹市北區吉羊路48巷5號,0918 784 237,,,,,,,,,,,,,,,,,,,,,,,
新昌汽車,300新竹市北區東大路二段683號,03 531 1007,,,,,,,,,,,,,,,,,,,,,,,
鑫豐車業有限公司,300新竹市東區光復路一段679號,03 577 3475,,,,,,,,,,,,,,,,,,,,,,,
新竹 進發輪胎車業 光復店,300新竹市東區光復路二段36號,03 571 8605,,,,,,,,,,,,,,,,,,,,,,,
金宏汽車保養廠,300新竹市東區埔頂路346號,03 668 7669,,,,,,,,,,,,,,,,,,,,,,,
駿業車業,300新竹市東區學府路357號,03 572 7049,,,,,,,,,,,,,,,,,,,,,,,
瑞豐汽車保養廠,300新竹市東區忠孝路271號,03 571 8299,,,,,,,,,,,,,,,,,,,,,,,
國靖汽車保養廠,300新竹市東區忠孝路37號,03 572 0485,,,,,,,,,,,,,,,,,,,,,,,
永富工業社,300新竹市東區振興路15號,03 523 4889,,,,,,,,,,,,,,,,,,,,,,,
全宏汽車修護廠,300新竹市東區柴橋路10號,03 520 5870,,,,,,,,,,,,,,,,,,,,,,,
翔威汽車企業社,300新竹市東區經國路一段458之2號,03 531 1775,,,,,,,,,,,,,,,,,,,,,,,
利曼車坊,300新竹市東區高峰路384號,03 561 5556,,,,,,,,,,,,,,,,,,,,,,,
